,session_no,src,src_city,src_region,src_country,dest,Hop_No,avg_rtt,IP_Address,City,Region_Name,Country
0,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,26,142.250.160.26,Chennai,Tamil Nadu,IN
5,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,26,216.239.43.135,Chennai,Tamil Nadu,IN
6,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,27,142.250.233.143,Mountain View,California,US
7,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,27,142.250.71.36,Chennai,Tamil Nadu,IN
0,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,4,61.1.117.54,Bengaluru,Karnataka,IN
3,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,24,216.239.43.135,Chennai,Tamil Nadu,IN
6,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,25,142.250.233.143,Mountain View,California,US
7,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,32,142.250.71.36,Chennai,Tamil Nadu,IN
0,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,8,203.129.218.109,Hubli,Karnataka,IN
2,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,5,61.1.117.54,Bengaluru,Karnataka,IN
